"enterprise_name", "growth_stage"
"Apple", "0-3 years"
"Apple", "3-10 years"
"Apple", "10-15 years"
"Apple", "15-25 years"
"Apple", "25+ years"
"Apricot", "0-2 years"
"Apricot", "2-5 years"
"Apricot", "5-15 years"
"Apricot", "15-18 years"
"Apricot", "18+ years"
"Avocado", "0-1 years"
"Avocado", "1-3 years"
"Avocado", "3-5 years"
"Avocado", "5-8 years"
"Avocado", "8+ years"
"Blueberry", "0-1 years"
"Blueberry", "1-3 years"
"Blueberry", "3-5 years"
"Blueberry", "5-8 years"
"Blueberry", "8+ years"
"Citrus (Hardpeel)", "0-1 years"
"Citrus (Hardpeel)", "1-4 years"
"Citrus (Hardpeel)", "4-8 years"
"Citrus (Hardpeel)", "8-20 years"
"Citrus (Hardpeel)", "20-25 years"
"Citrus (Hardpeel)", "25+ years"
"Citrus (Softpeel)", "0-1 years"
"Citrus (Softpeel)", "1-4 years"
"Citrus (Softpeel)", "4-8 years"
"Citrus (Softpeel)", "8-20 years"
"Citrus (Softpeel)", "20-25 years"
"Citrus (Softpeel)", "25+ years"
"Fig", "0-1 years"
"Fig", "1-3 years"
"Fig", "3-6 years"
"Fig", "6-18 years"
"Fig", "18-30 years"
"Fig", "30+ years"
"Grape (Table)""0-3 years"
"Grape (Table)""3-10 years"
"Grape (Table)""10-15 years"
"Grape (Table)""15-25 years"
"Grape (Table)""25+ years"
"Grape (Wine)", "0-3 years"
"Grape (Wine)", "3-10 years"
"Grape (Wine)", "10-15 years"
"Grape (Wine)", "15-25 years"
"Grape (Wine)", "25+ years"
"Macadamia Nut", "0-1 years"
"Macadamia Nut", "1-3 years"
"Macadamia Nut", "3-6 years"
"Macadamia Nut", "6-9 years"
"Macadamia Nut", "10+ years"
"Mango", "0-1 years"
"Mango", "1-3 years"
"Mango", "3-5 years"
"Mango", "5-18 years"
"Mango", "18-30 years"
"Mango", "30+ years"
"Nectarine", "0-2 years"
"Nectarine", "2-5 years"
"Nectarine", "5-15 years"
"Nectarine", "15-18 years"
"Nectarine", "18+ years"
"Olive", "0-1 years"
"Olive", "1-3 years"
"Olive", "3-5 years"
"Olive", "5-10 years"
"Olive", "10+ years"
"Orange", "0-1 years"
"Orange", "1-4 years"
"Orange", "4-8 years"
"Orange", "8-20 years"
"Orange", "20-25 years"
"Orange", "25+ years"]
"Pecan Nut", "0-1 years"
"Pecan Nut", "1-3 years"
"Pecan Nut", "3-7 years"
"Pecan Nut", "7-10 years"
"Pecan Nut", "10+ years"
"Peach", "0-2 years"
"Peach", "2-5 years"
"Peach", "5-15 years"
"Peach", "15-18 years"
"Peach", "18+ years"]
"Pear", "0-3 years"
"Pear", "3-10 years"
"Pear", "10-15 years"
"Pear", "15-25 years"
"Pear", "25+ years"
"Persimmon", "0-1 years"
"Persimmon", "1-4 years"
"Persimmon", "4-12 years"
"Persimmon", "12-20 years"
"Persimmon", "20+ years"
"Plum", "0-2 years"
"Plum", "2-5 years"
"Plum", "5-15 years"
"Plum", "15-18 years"
"Plum", "18+ years"
"Pomegranate", "0-1 years"
"Pomegranate", "1-3 years"
"Pomegranate", "3-5 years"
"Pomegranate", "5-18 years"
"Pomegranate", "18-30 years"
"Pomegranate", "30+ years"]
"Rooibos", "0-1 years"
"Rooibos", "1-2 years"
"Rooibos", "2-4 years"
"Rooibos", "4-5 years"
"Rooibos", "5+ years"]