"land_use", "crop_type"
"Cropland", "Barley"
"Cropland", "Bean"
"Cropland", "Bean (Broad)"
"Cropland", "Bean (Dry)"
"Cropland", "Bean (Sugar)"
"Cropland", "Bean (Green)"
"Cropland", "Bean (Kidney)"
"Cropland", "Canola"
"Cropland", "Cassava"
"Cropland", "Cotton"
"Cropland", "Cowpea"
"Cropland", "Grain Sorghum"
"Cropland", "Groundnut"
"Cropland", "Maize"
"Cropland", "Maize (White)"
"Cropland", "Maize (Yellow)"
"Cropland", "Oats"
"Cropland", "Peanut"
"Cropland", "Pearl Millet"
"Cropland", "Potato"
"Cropland", "Rape"
"Cropland", "Rice"
"Cropland", "Rye"
"Cropland", "Soya Bean"
"Cropland", "Sunflower"
"Cropland", "Sweet Corn"
"Cropland", "Sweet Potato"
"Cropland", "Tobacco"
"Cropland", "Triticale"
"Cropland", "Wheat"
"Cropland", "Wheat (Durum)"],
"Grazing", "Bahia-Notatum"
"Grazing", "Bottle Brush"
"Grazing", "Buffalo"
"Grazing", "Buffalo (Blue)"
"Grazing", "Buffalo (White)"
"Grazing", "Bush"
"Grazing", "Cocksfoot"
"Grazing", "Common Setaria"
"Grazing", "Dallis"
"Grazing", "Phalaris"
"Grazing", "Rescue"
"Grazing", "Rhodes"
"Grazing", "Smuts Finger"
"Grazing", "Tall Fescue"
"Grazing", "Teff"
"Grazing", "Veld"
"Grazing", "Weeping Lovegrass"
"Horticulture (Perennial)": "Almond"
"Horticulture (Perennial)", "Aloe"
"Horticulture (Perennial)", "Apple"
"Horticulture (Perennial)", "Apricot"
"Horticulture (Perennial)", "Avocado"
"Horticulture (Perennial)", "Banana"
"Horticulture (Perennial)", "Cherry"
"Horticulture (Perennial)", "Coconut"
"Horticulture (Perennial)", "Coffee"
"Horticulture (Perennial)", "Grape"
"Horticulture (Perennial)", "Grape (Bush Vine)"
"Horticulture (Perennial)", "Grape (Red)"
"Horticulture (Perennial)", "Grape (Table)"
"Horticulture (Perennial)", "Grape (White)"
"Horticulture (Perennial)", "Grapefruit"
"Horticulture (Perennial)", "Guava"
"Horticulture (Perennial)", "Hops"
"Horticulture (Perennial)", "Kiwi Fruit"
"Horticulture (Perennial)", "Lemon"
"Horticulture (Perennial)", "Litchi"
"Horticulture (Perennial)", "Macadamia Nut"
"Horticulture (Perennial)", "Mandarin"
"Horticulture (Perennial)", "Mango"
"Horticulture (Perennial)", "Nectarine"
"Horticulture (Perennial)", "Olive"
"Horticulture (Perennial)", "Orange"
"Horticulture (Perennial)", "Papaya"
"Horticulture (Perennial)", "Peach"
"Horticulture (Perennial)", "Pear"
"Horticulture (Perennial)", "Pecan Nut"
"Horticulture (Perennial)", "Persimmon"
"Horticulture (Perennial)", "Pineapple"
"Horticulture (Perennial)", "Pistachio Nut"
"Horticulture (Perennial)", "Plum"
"Horticulture (Perennial)", "Rooibos"
"Horticulture (Perennial)", "Sisal"
"Horticulture (Perennial)", "Tea"
"Horticulture (Perennial)", "Walnut"
"Horticulture (Seasonal)": "Asparagus"
"Horticulture (Seasonal)", "Beet"
"Horticulture (Seasonal)", "Beetroot"
"Horticulture (Seasonal)", "Blackberry"
"Horticulture (Seasonal)", "Borecole"
"Horticulture (Seasonal)", "Brinjal"
"Horticulture (Seasonal)", "Broccoli"
"Horticulture (Seasonal)", "Brussel Sprout"
"Horticulture (Seasonal)", "Cabbage"
"Horticulture (Seasonal)", "Cabbage (Chinese)"
"Horticulture (Seasonal)", "Cabbage (Savoy)"
"Horticulture (Seasonal)", "Cactus Pear"
"Horticulture (Seasonal)", "Carrot"
"Horticulture (Seasonal)", "Cauliflower"
"Horticulture (Seasonal)", "Celery"
"Horticulture (Seasonal)", "Chicory"
"Horticulture (Seasonal)", "Chili"
"Horticulture (Seasonal)", "Cucumber"
"Horticulture (Seasonal)", "Cucurbit"
"Horticulture (Seasonal)", "Garlic"
"Horticulture (Seasonal)", "Ginger"
"Horticulture (Seasonal)", "Granadilla"
"Horticulture (Seasonal)", "Kale"
"Horticulture (Seasonal)", "Kohlrabi"
"Horticulture (Seasonal)", "Leek"
"Horticulture (Seasonal)", "Lentil"
"Horticulture (Seasonal)", "Lespedeza"
"Horticulture (Seasonal)", "Lettuce"
"Horticulture (Seasonal)", "Makataan"
"Horticulture (Seasonal)", "Mustard"
"Horticulture (Seasonal)", "Mustard (White)"
"Horticulture (Seasonal)", "Onion"
"Horticulture (Seasonal)", "Paprika"
"Horticulture (Seasonal)", "Parsley"
"Horticulture (Seasonal)", "Parsnip"
"Horticulture (Seasonal)", "Pea"
"Horticulture (Seasonal)", "Pea (Dry)"
"Horticulture (Seasonal)", "Pepper"
"Horticulture (Seasonal)", "Pumpkin"
"Horticulture (Seasonal)", "Quince"
"Horticulture (Seasonal)", "Radish"
"Horticulture (Seasonal)", "Squash"
"Horticulture (Seasonal)", "Strawberry"
"Horticulture (Seasonal)", "Swede"
"Horticulture (Seasonal)", "Sweet Melon"
"Horticulture (Seasonal)", "Swiss Chard"
"Horticulture (Seasonal)", "Tomato"
"Horticulture (Seasonal)", "Turnip"
"Horticulture (Seasonal)", "Vetch (Common)"
"Horticulture (Seasonal)", "Vetch (Hairy)"
"Horticulture (Seasonal)", "Watermelon"
"Horticulture (Seasonal)", "Youngberry"
"Plantation", "Bluegum"
"Plantation", "Pine"
"Plantation", "Sugarcane"
"Plantation", "Wattle"
"Planted Pastures", "Birdsfoot Trefoil"
"Planted Pastures", "Carribean Stylo"
"Planted Pastures", "Clover"
"Planted Pastures", "Clover (Arrow Leaf)"
"Planted Pastures", "Clover (Crimson)"
"Planted Pastures", "Clover (Persian)"
"Planted Pastures", "Clover (Red)"
"Planted Pastures", "Clover (Rose)"
"Planted Pastures", "Clover (Strawberry)"
"Planted Pastures", "Clover (Subterranean)"
"Planted Pastures", "Clover (White)"
"Planted Pastures", "Kikuyu"
"Planted Pastures", "Lucerne"
"Planted Pastures", "Lupin"
"Planted Pastures", "Lupin (Narrow Leaf)"
"Planted Pastures", "Lupin (White)"
"Planted Pastures", "Lupin (Yellow)"
"Planted Pastures", "Medic"
"Planted Pastures", "Medic (Barrel)"
"Planted Pastures", "Medic (Burr)"
"Planted Pastures", "Medic (Gama)"
"Planted Pastures", "Medic (Snail)"
"Planted Pastures", "Medic (Strand)"
"Planted Pastures", "Ryegrass"
"Planted Pastures", "Ryegrass (Hybrid)"
"Planted Pastures", "Ryegrass (Italian)"
"Planted Pastures", "Ryegrass (Westerwolds)"
"Planted Pastures", "Serradella"
"Planted Pastures", "Serradella (Yellow)"
"Planted Pastures", "Silver Leaf Desmodium"