class,inherits,category
Farmland,Asset,Farmland
Cropland,Farmland,Cropland
Cropland,Farmland,Cropland (Irrigated)
PermanentCrop,Farmland,Permanent Crops
PermanentCrop,Farmland,Permanent Crops (Irrigated)
Pasture,Farmland,Natural Grazing
Pasture,Farmland,Swamp Pastures
Pasture,Farmland,Wildlife Conservation
PlantedPasture,Farmland,Planted Pastures
PlantedPasture,Farmland,Planted Pastures (Irrigated)
Plantation,Farmland,Plantation
Wasteland,Farmland,Homestead & Wasteland
Crop,Asset,Crop
FieldCrop,Crop,Barley
FieldCrop,Crop,Bean (Dry)
FieldCrop,Crop,Bean (Green)
FieldCrop,Crop,Canola
FieldCrop,Crop,Cotton
FieldCrop,Crop,Cowpea
FieldCrop,Crop,Grain Sorghum
FieldCrop,Crop,Groundnut
FieldCrop,Crop,Lucerne
FieldCrop,Crop,Maize (Fodder)
FieldCrop,Crop,Maize (Green)
FieldCrop,Crop,Maize (Seed)
FieldCrop,Crop,Maize (White)
FieldCrop,Crop,Maize (Yellow)
FieldCrop,Crop,Oats
FieldCrop,Crop,Potato
FieldCrop,Crop,Rye
FieldCrop,Crop,Soya Bean
FieldCrop,Crop,Sunflower
FieldCrop,Crop,Sweet Corn
FieldCrop,Crop,Tobacco
FieldCrop,Crop,Triticale
FieldCrop,Crop,Wheat
FruitCrop,Crop,Almond
FruitCrop,Crop,Apple
FruitCrop,Crop,Apricot
FruitCrop,Crop,Avocado
FruitCrop,Crop,Banana
FruitCrop,Crop,Blueberry
FruitCrop,Crop,Cherry
FruitCrop,Crop,Chicory
FruitCrop,Crop,Chili
FruitCrop,Crop,Citrus (Hardpeel)
FruitCrop,Crop,Citrus (Softpeel)
FruitCrop,Crop,Coffee
FruitCrop,Crop,Fig
FruitCrop,Crop,Garlic
FruitCrop,Crop,Grape (Table)
FruitCrop,Crop,Grape (Wine)
FruitCrop,Crop,Guava
FruitCrop,Crop,Hops
FruitCrop,Crop,Kiwi
FruitCrop,Crop,Lemon
FruitCrop,Crop,Lentil
FruitCrop,Crop,Macadamia Nut
FruitCrop,Crop,Mango
FruitCrop,Crop,Melon
FruitCrop,Crop,Nectarine
FruitCrop,Crop,Olive
FruitCrop,Crop,Onion
FruitCrop,Crop,Orange
FruitCrop,Crop,Papaya
FruitCrop,Crop,Pea
FruitCrop,Crop,Peach
FruitCrop,Crop,Peanut
FruitCrop,Crop,Pear
FruitCrop,Crop,Pecan Nut
FruitCrop,Crop,Persimmon
FruitCrop,Crop,Pineapple
FruitCrop,Crop,Pistachio Nut
FruitCrop,Crop,Plum
FruitCrop,Crop,Pomegranate
FruitCrop,Crop,Prune
FruitCrop,Crop,Pumpkin
FruitCrop,Crop,Quince
FruitCrop,Crop,Rooibos
FruitCrop,Crop,Strawberry
FruitCrop,Crop,Sugarcane
FruitCrop,Crop,Tomato
FruitCrop,Crop,Watermelon
PastureCrop,Crop,Birdsfoot Trefoil
PastureCrop,Crop,Carribean Stylo
PastureCrop,Crop,Clover
PastureCrop,Crop,Clover (Arrow Leaf)
PastureCrop,Crop,Clover (Crimson)
PastureCrop,Crop,Clover (Persian)
PastureCrop,Crop,Clover (Red)
PastureCrop,Crop,Clover (Rose)
PastureCrop,Crop,Clover (Strawberry)
PastureCrop,Crop,Clover (Subterranean)
PastureCrop,Crop,Clover (White)
PastureCrop,Crop,Kikuyu
PastureCrop,Crop,Lucerne
PastureCrop,Crop,Lupin
PastureCrop,Crop,Lupin (Narrow Leaf)
PastureCrop,Crop,Lupin (White)
PastureCrop,Crop,Lupin (Yellow)
PastureCrop,Crop,Medic
PastureCrop,Crop,Medic (Barrel)
PastureCrop,Crop,Medic (Burr)
PastureCrop,Crop,Medic (Gama)
PastureCrop,Crop,Medic (Snail)
PastureCrop,Crop,Medic (Strand)
PastureCrop,Crop,Ryegrass
PastureCrop,Crop,Ryegrass (Hybrid)
PastureCrop,Crop,Ryegrass (Italian)
PastureCrop,Crop,Ryegrass (Westerwolds)
PastureCrop,Crop,Serradella
PastureCrop,Crop,Serradella (Yellow)
PastureCrop,Crop,Silver Leaf Desmodium
PlantationCrop,Crop,Sugarcane
PlantationCrop,Crop,Bluegum
PlantationCrop,Crop,Pine
PlantationCrop,Crop,Wattle
WaterRight,Asset,Water Right (Irrigation Scheme)
WaterRight,Asset,Water Right (River)
WaterRight,Asset,Water Right (Dam)
WaterRight,Asset,Water Right (Borehole)
LandImprovement,Asset,Land Improvement
Transport,LandImprovement,Airport Hangar
Transport,LandImprovement,Helipad
Transport,LandImprovement,Airport Runway
Aquaculture,LandImprovement,Aquaculture (Pond)
Aquaculture,LandImprovement,Aquaculture (Net House)
Aviary,LandImprovement,Aviary
Aviary,LandImprovement,Beekeeping
Borehole,LandImprovement,Borehole
Borehole,LandImprovement,Borehole (Equipped)
Borehole,LandImprovement,Borehole (Pump)
Borehole,LandImprovement,Borehole (Windmill)
Poultry,LandImprovement,Hatchery
Poultry,LandImprovement,Broiler House
Poultry,LandImprovement,Broiler House (Atmosphere)
Poultry,LandImprovement,Broiler House (Semi)
Poultry,LandImprovement,Broiler House (Zinc)
Building,LandImprovement,Administrative Building
Building,LandImprovement,Building
Building,LandImprovement,Commercial Building
Building,LandImprovement,Entrance
Building,LandImprovement,Lean-to
Building,LandImprovement,Outbuilding
Building,LandImprovement,Gate
ColdStorage,LandImprovement,Cold Storage
Commercial,LandImprovement,Coffee Shop
Commercial,LandImprovement,Sales Facility
Commercial,LandImprovement,Shop
Commercial,LandImprovement,Bar
Commercial,LandImprovement,Café
Commercial,LandImprovement,Restaurant
Commercial,LandImprovement,Factory
Commercial,LandImprovement,Tasting Facility
Commercial,LandImprovement,Cloth House
Nursery,LandImprovement,Compost Preparing Unit
FruitProcessing,LandImprovement,Degreening Room
FruitProcessing,LandImprovement,Dehusking Facility
FruitProcessing,LandImprovement,Drying Facility
FruitProcessing,LandImprovement,Drying Tunnels
FruitProcessing,LandImprovement,Sorting Facility
FruitProcessing,LandImprovement,Drying Oven
FruitProcessing,LandImprovement,Drying Racks
FruitProcessing,LandImprovement,Crushing Plant
FruitProcessing,LandImprovement,Nut Cracking Facility
FruitProcessing,LandImprovement,Nut Factory
FruitProcessing,LandImprovement,Bottling Facility
FruitProcessing,LandImprovement,Flavour Shed
FruitProcessing,LandImprovement,Processing Facility
Dairy,LandImprovement,Dairy
Dairy,LandImprovement,Pasteurising Facility
Dairy,LandImprovement,Milking Parlour
Dam,LandImprovement,Dam
Dam,LandImprovement,Dam (Filter)
Dam,LandImprovement,Dam (Trout)
Dam,LandImprovement,Dam (Crocodile)
Domestic,LandImprovement,Chicken Coop
Domestic,LandImprovement,Chicken Run
Domestic,LandImprovement,Kennels
Domestic,LandImprovement,Gardening Facility
Education,LandImprovement,Conference Room
Education,LandImprovement,Classroom
Education,LandImprovement,Crèche
Education,LandImprovement,School
Education,LandImprovement,Training Facility
FixedEquipment,LandImprovement,Air Conditioner
FixedEquipment,LandImprovement,Gantry
FixedEquipment,LandImprovement,Oven
FixedEquipment,LandImprovement,Pump
FixedEquipment,LandImprovement,Pumphouse
FixedEquipment,LandImprovement,Scale
GrainProcessing,LandImprovement,Feed Mill
Fencing,LandImprovement,Fencing
Fencing,LandImprovement,Fencing (Electric)
Fencing,LandImprovement,Fencing (Game)
Fencing,LandImprovement,Fencing (Perimeter)
Fencing,LandImprovement,Fencing (Security)
Fencing,LandImprovement,Fencing (Wire)
FuelHandling,LandImprovement,Fuel Tanks
FuelHandling,LandImprovement,Fuel Stand
FuelHandling,LandImprovement,Fuelling Facility
GrainProcessing,LandImprovement,Grain Mill
Greenhouse,LandImprovement,Greenhouse
Transport,LandImprovement,Infrastructure
Laboratory,LandImprovement,Laboratory
LivestockHandling,LandImprovement,Feedlot
LivestockHandling,LandImprovement,Auction Facility
LivestockHandling,LandImprovement,Cages
LivestockHandling,LandImprovement,Growing House
LivestockHandling,LandImprovement,Pens
LivestockHandling,LandImprovement,Shelter
LivestockHandling,LandImprovement,Breeding Facility
LivestockHandling,LandImprovement,Culling Shed
LivestockHandling,LandImprovement,Dipping Facility
LivestockHandling,LandImprovement,Elephant Enclosures
LivestockHandling,LandImprovement,Feed Troughs/Dispensers
LivestockHandling,LandImprovement,Horse Walker
LivestockHandling,LandImprovement,Maternity Shelter/Pen
LivestockHandling,LandImprovement,Quarantine Area
LivestockHandling,LandImprovement,Rehab Facility
LivestockHandling,LandImprovement,Shearing Facility
LivestockHandling,LandImprovement,Stable
LivestockHandling,LandImprovement,Surgery
LivestockHandling,LandImprovement,Treatment Area
LivestockHandling,LandImprovement,Weaner House
LivestockHandling,LandImprovement,Grading Facility
LivestockHandling,LandImprovement,Inspection Facility
Logistics,LandImprovement,Handling Equipment
Logistics,LandImprovement,Handling Facility
Logistics,LandImprovement,Depot
Logistics,LandImprovement,Loading Area
Logistics,LandImprovement,Loading Shed
Logistics,LandImprovement,Hopper
Logistics,LandImprovement,Weigh Bridge
MeatProcessing,LandImprovement,Abattoir
MeatProcessing,LandImprovement,Deboning Room
MeatProcessing,LandImprovement,Skinning Facility
SugarcaneProcessing,LandImprovement,Sugar Mill
Mushrooms,LandImprovement,Mushrooms (Cultivation)
Mushrooms,LandImprovement,Mushrooms (Sweat Room)
Nursery,LandImprovement,Plant Nursery (Plant)
Commercial,LandImprovement,Office
FruitProcessing,LandImprovement,Packaging Facility
Paddocks,LandImprovement,Camp
Paddocks,LandImprovement,Kraal
Paddocks,LandImprovement,Paddocks
Piggery,LandImprovement,Farrowing House
Piggery,LandImprovement,Pig Sty
Recreation,LandImprovement,Viewing Area
Recreation,LandImprovement,BBQ
Recreation,LandImprovement,Clubhouse
Recreation,LandImprovement,Event Venue
Recreation,LandImprovement,Gallery
Recreation,LandImprovement,Game Room
Recreation,LandImprovement,Gazebo
Recreation,LandImprovement,Gymnasium
Recreation,LandImprovement,Jacuzzi
Recreation,LandImprovement,Judging Booth
Recreation,LandImprovement,Museum
Recreation,LandImprovement,Play Area
Recreation,LandImprovement,Pool House
Recreation,LandImprovement,Pottery Room
Recreation,LandImprovement,Racing Track
Recreation,LandImprovement,Salon
Recreation,LandImprovement,Sauna
Recreation,LandImprovement,Shooting Range
Recreation,LandImprovement,Spa Facility
Recreation,LandImprovement,Squash Court
Recreation,LandImprovement,Swimming Pool
Recreation,LandImprovement,Recreation
Recreation,LandImprovement,Arena
Recreation,LandImprovement,Tennis Court
Religious,LandImprovement,Church
Residential,LandImprovement,Carport
Residential,LandImprovement,Driveway
Residential,LandImprovement,Flooring
Residential,LandImprovement,Paving
Residential,LandImprovement,Roofing
Residential,LandImprovement,Water Feature
Residential,LandImprovement,Hall
Residential,LandImprovement,Balcony
Residential,LandImprovement,Canopy
Residential,LandImprovement,Concrete Surface
Residential,LandImprovement,Courtyard
Residential,LandImprovement,Covered
Residential,LandImprovement,Deck
Residential,LandImprovement,Mezzanine
Residential,LandImprovement,Parking Area
Residential,LandImprovement,Patio
Residential,LandImprovement,Porch
Residential,LandImprovement,Porte Cochere
Residential,LandImprovement,Terrace
Residential,LandImprovement,Veranda
Residential,LandImprovement,Walkways
Residential,LandImprovement,Rondavel
Residential,LandImprovement,Accommodation Units
Residential,LandImprovement,Boma
Residential,LandImprovement,Bungalow
Residential,LandImprovement,Bunker
Residential,LandImprovement,Cabin
Residential,LandImprovement,Chalet
Residential,LandImprovement,Community Centre
Residential,LandImprovement,Dormitory
Residential,LandImprovement,Dwelling
Residential,LandImprovement,Flat
Residential,LandImprovement,Kitchen
Residential,LandImprovement,Lapa
Residential,LandImprovement,Laundry Facility
Residential,LandImprovement,Locker Room
Residential,LandImprovement,Lodge
Residential,LandImprovement,Shower
Residential,LandImprovement,Toilets
Residential,LandImprovement,Room
Residential,LandImprovement,Cottage
Residential,LandImprovement,Garage
Transport,LandImprovement,Roads (Access Roads)
Transport,LandImprovement,Roads (Gravel)
Transport,LandImprovement,Roads (Tarred)
Security,LandImprovement,Control Room
Security,LandImprovement,Guardhouse
Security,LandImprovement,Security Office
ShadeNets,LandImprovement,Shade Nets
GrainHandling,LandImprovement,Silo
GrainHandling,LandImprovement,Grain Store
StaffFacilities,LandImprovement,Hostel
StaffFacilities,LandImprovement,Hut
StaffFacilities,LandImprovement,Retirement Centre
StaffFacilities,LandImprovement,Staff Building
StaffFacilities,LandImprovement,Canteen
StaffFacilities,LandImprovement,Dining Facility
Storage,LandImprovement,Warehouse
Storage,LandImprovement,Barn
Storage,LandImprovement,Dark Room
Storage,LandImprovement,Bin Compartments
Storage,LandImprovement,Machinery Store
Storage,LandImprovement,Saddle Room
Storage,LandImprovement,Shed
Storage,LandImprovement,Chemicals Store
Storage,LandImprovement,Tools Store
Storage,LandImprovement,Dry Store
Storage,LandImprovement,Equipment Store
Storage,LandImprovement,Feed Store
Storage,LandImprovement,Fertilizer Store
Storage,LandImprovement,Fuel Store
Storage,LandImprovement,Hides Store
Storage,LandImprovement,Oil Store
Storage,LandImprovement,Pesticide Store
Storage,LandImprovement,Poison Store
Storage,LandImprovement,Seed Store
Storage,LandImprovement,Zinc Store
Storage,LandImprovement,Sulphur Store
Storage,LandImprovement,Vitamin Room Store
Storage,LandImprovement,Vacant Area
TimberMill,LandImprovement,Timber Mill
Utilities,LandImprovement,Utilities (Battery Room)
Utilities,LandImprovement,Utilities (Boiler Room)
Utilities,LandImprovement,Utilities (Compressor Room)
Utilities,LandImprovement,Utilities (Engine Room)
Utilities,LandImprovement,Utilities (Generator)
Utilities,LandImprovement,Utilities (Power Room)
Utilities,LandImprovement,Utilities (Pumphouse)
Utilities,LandImprovement,Utilities (Transformer Room)
Utilities,LandImprovement,Utilities
VehicleFacilities,LandImprovement,Truck Shelter
VehicleFacilities,LandImprovement,Transport Depot
VehicleFacilities,LandImprovement,Truck Wash
VehicleFacilities,LandImprovement,Workshop
Residential,LandImprovement,Walls
Residential,LandImprovement,Walls (Boundary)
Residential,LandImprovement,Walls (Retaining)
Residential,LandImprovement,Walls (Security)
Warehouse,LandImprovement,Warehouse
WaterReticulation,LandImprovement,Water Tanks
WaterReticulation,LandImprovement,Reservoir
WaterReticulation,LandImprovement,Tower
WaterReticulation,LandImprovement,Purification Plant
WaterReticulation,LandImprovement,Reticulation Works
WaterReticulation,LandImprovement,Filter Station
WaterReticulation,LandImprovement,Trench
Winery,LandImprovement,Wine Cellar (Tanks)
Winery,LandImprovement,Wine Cellar
Winery,LandImprovement,Wine Cellar (Winery)
Winery,LandImprovement,Wine Cellar (Barrel Maturation Room)
Livestock,Asset,Livestock
Livestock,Cattle (Stud),"Cattle (Breeding, Phase A Bulls)"
Livestock,Cattle (Stud),Phase B Bulls
Livestock,Cattle (Stud),Phase C Bulls
Livestock,Cattle (Stud),Phase D Bulls
Livestock,Cattle (Stud),Heifers
Livestock,Cattle (Stud),Bull Calves
Livestock,Cattle (Stud),Heifer Calves
Livestock,Cattle (Stud),Tollies 1-2
Livestock,Cattle (Stud),Heifers 1-2
Livestock,Cattle (Stud),Culls
Livestock,Dairy,Bulls
Livestock,Dairy,Dry Cows
Livestock,Dairy,Lactating Cows
Livestock,Dairy,Heifers
Livestock,Dairy,Calves
Livestock,Dairy,Culls
Livestock,Cattle (Extensive),Bulls
Livestock,Cattle (Extensive),Cows
Livestock,Cattle (Extensive),Heifers
Livestock,Cattle (Extensive),Weaners
Livestock,Cattle (Extensive),Calves
Livestock,Cattle (Extensive),Culls
,Cattle (Feedlot),
Livestock,Sheep (Stud),Rams
Livestock,Sheep (Stud),Young Rams
Livestock,Sheep (Stud),Ewes
Livestock,Sheep (Stud),Young Ewes
Livestock,Sheep (Stud),Lambs
Livestock,Sheep (Stud),Wethers
Livestock,Sheep (Stud),Culls
Livestock,Sheep (Extensive),Rams
Livestock,Sheep (Extensive),Ewes
Livestock,Sheep (Extensive),Lambs
Livestock,Sheep (Extensive),Wethers
Livestock,Sheep (Extensive),Culls
,Sheep (Feedlot),Sheep (Feedlot)
Livestock,Pigs,Boars
Livestock,Pigs,Breeding Sows
Livestock,Pigs,Weaned pigs
Livestock,Pigs,Piglets
Livestock,Pigs,Porkers
Livestock,Pigs,Baconers
Livestock,Pigs,Culls
Livestock,Chickens (Broilers),Day Old Chicks
Livestock,Chickens (Broilers),Broilers
Livestock,Chickens (Layers),Hens
Livestock,Chickens (Layers),Point of Laying Hens
Livestock,Chickens (Layers),Culls
Livestock,Ostriches,Breeding Stock
Livestock,Ostriches,Slaughter Birds > 3 months
Livestock,Ostriches,Slaughter Birds < 3 months
Livestock,Ostriches,Chicks
Livestock,Goats,Rams
Livestock,Goats,Breeding Ewes
Livestock,Goats,Young Ewes
Livestock,Goats,Kids
Livestock,Horses,Horses
Livestock,Game,Game
PlantEquipment,Asset,Plant & Equipment
Vehicles,PlantEquipment,Pick-up
Vehicles,PlantEquipment,Car
Vehicles,PlantEquipment,Truck
Vehicles,PlantEquipment,Motorbike
Machinery,PlantEquipment,Tractor
Machinery,PlantEquipment,Combine Harvester
Machinery,PlantEquipment,Mower
Machinery,PlantEquipment,Mower Conditioner
Machinery,PlantEquipment,Hay Rake
Machinery,PlantEquipment,Hay Baler
Machinery,PlantEquipment,Harvester
Equipment,PlantEquipment,Plough
Equipment,PlantEquipment,Harrow
Equipment,PlantEquipment,Ridgers
Equipment,PlantEquipment,Rotovator
Equipment,PlantEquipment,Cultivator
Equipment,PlantEquipment,Planter
Equipment,PlantEquipment,Spreader
Equipment,PlantEquipment,Sprayer
Equipment,PlantEquipment,Mixer
IrrigationEquipment,PlantEquipment,Irrigation (Centre-Pivot)
IrrigationEquipment,PlantEquipment,Irrigation (Flood)
IrrigationEquipment,PlantEquipment,Irrigation (Micro)
IrrigationEquipment,PlantEquipment,Irrigation (Sub-drainage)
IrrigationEquipment,PlantEquipment,Irrigation (Sprinkler)
IrrigationEquipment,PlantEquipment,Irrigation (Drip)
